BDCHM Element	Variable Label	var_name	status	Data Type	UCUM Unit	Ontology CURIE	OMOP Concept ID	Deprecated Codes	Variable Description
MeasurementObservation	Myeloperoxidase in blood	mpo		decimal	ng/mL	OBA:2052389	OMOP:1988928		Concentration of Myeloperoxidase (MPO) in blood, typically measured in plasma or serum
MeasurementObservation	Neutrophils count	neutro_ct		decimal	10*3/uL	OBA:VT0000222	OMOP:37208699		Concentration of neutrophil cells in whole blood
MeasurementObservation	Neutrophils percent	neutro_pct		decimal	%{WBCs}		OMOP:37208698		Percent of total leukocytes that are neutrophils
MeasurementObservation	NT pro BNP	nt_bnp		decimal	pg/mL	OBA:2045349	OMOP:4189511		Concentration of NT-proBNP in blood, typically measured in serum or plasma. Also known as N-terminal prohormone of brain natriuretic peptide
Condition	Obesity	obesity		ConditionStatusEnum			OMOP:433736		
MeasurementObservation	Osteoprotegerin in blood	opg		decimal	ng/mL	OBA:2050271	OMOP:1552124		Concentration of Osteoprotegerin (OPG) in blood, typically measured in serum or plasma
MeasurementObservation	P-selectin in blood	pselectin		decimal	ng/mL	OBA:2052701	OMOP:3007356		Concentration of P-selectin in blood, typically measured in plasma
Procedure	Pacemaker implant status	pacem_stat		BaseEnum			OMOP:45772840		
Condition	Peripheral arterial disease	pad		Uriorcurie			OMOP:3654996		
MeasurementObservation	Platelet count	platelet_ct		decimal	10*3/uL	OBA:VT0003179	OMOP:4267147		Concentration of platelets in whole blood
MeasurementObservation	Potassium in blood	potassium		decimal	mmol/L	OBA:VT0002668	OMOP:4245152		Concentration of potassium in blood, typically measured in whole blood or serum
MeasurementObservation	PR interval	pr_ekg		decimal	ms		OMOP:4274406		Time it takes for electrical impulses to travel from the atria to the ventricles of the heart. Measured using ECG/EKG
MeasurementObservation	QRS interval	qrs_ekg		decimal	ms	OBA:1001086	OMOP:4273021		Time that elapses from the beginning of the Q wave to the end of the S wave. Measured using ECG/EKG
MeasurementObservation	QT interval	qt_ekg		decimal	ms		OMOP:4273023		Time it takes for the ventricles of the heart to depolarize and repolarize. Measured using ECG/EKG
Demography	Race	race		RaceEnum			OMOP:4013886		Self-reported category reflecting an individual's identity and social understanding of race in the United States
MeasurementObservation	Red blood cell count	rdbld_ct		decimal	10*6/uL	OBA:VT0001586	OMOP:4030871		Concentration of red blood cells in whole blood
MeasurementObservation	Red cell distribution width	rdw		decimal	%		OMOP:37397924		Measure of the variation in the size and volume of red blood cells, also known as RDW. SD or CV?
Demography	Sex	sex		SexEnum			OMOP:3046965		Self-reported category reflecting an individual's biological sex and/or gender identity
Condition	Sleep apnea status	slp_ap		Uriorcurie			OMOP:313459		
